iden,year,name,profit,cumprofit,income,yield,cost,Ncost,disease,diseaseImpact,weedpenalty,newN,newseedbank
0.5,9,wheat,86.296053071864577,-717.86243996997041,626.39148526462282,1.7896899578989225,350.0,139.46782973978526,0.1,0.029427447597694788,0.16183964465604972,0.0,2281.3010789462583
0.5,0,wheat,60.023856624619697,60.023856624619697,649.9238566246197,1.8569253046417706,350.0,239.9,0.32267829998279168,0.059479391155467014,0.10256410256410253,0.0,128.34319526627218
0.65,1,wheat,43.783562158325239,103.80741878294494,636.08796016665815,1.8173941719047375,350.0,240.0,0.3861292969468188,0.073812124060824588,0.10807700962504319,0.0,362.47249756024775
0.3,2,sprayed pasture,-207.57499999999999,-103.76758121705505,0.0,1.8327989437751089,230.0,0.0,0.49564616685805579,0.0,0.22690177700001846,45.819973594377721,157.50544438518176
0.05,3,wheat,-235.45155981528066,-339.2191410323357,223.74094236916184,0.63925983534046238,350.0,148.36005281124454,0.1,0.04540562774009016,0.11011185956532799,0.0,218.74941270672954
0.75,4,wheat,54.632408511374983,-284.58673252096071,657.07426555827533,1.8773550444522151,350.0,240.0,0.18534744966661496,0.036472417597396563,0.11435519064656063,0.0,658.0861061676464
0.7,5,sprayed pasture,-177.96961562499996,-462.55634814596067,0.0,2.2573867347471142,230.0,0.0,0.35717899552437976,0.0,0.24753775508429532,56.434668368677855,337.92872886466995
0.6,6,wheat,124.29741407999865,-338.25893406596202,646.22165129451719,1.8463475751271918,350.0,127.13066326264429,0.1,0.043593525471093353,0.12249768258995475,0.0,909.0916643366244
0.2,7,wheat,-134.19239626083262,-472.45133032679462,397.84014113028599,1.1366861175151028,350.0,240.0,0.21130726561203184,0.0732728997891159,0.15952985378590268,0.0,1688.1441954334118
0.55,8,sprayed pasture,-152.58669919648432,-625.03802952327896,0.0,2.0652945580731461,230.0,0.0,0.26487916791840616,0.0,0.3115684806422847,51.632363951828651,771.782967708696
0.9,9,wheat,86.9846265918478,-538.05340293143115,624.75146893793305,1.785004196965523,350.0,136.7352720963427,0.1,0.044423024048101646,0.15091555730819528,0.0,2547.1105965788556
0.3,0,wheat,-76.139212363440862,-76.139212363440862,513.76078763655914,1.4678879646758833,350.0,239.9,0.38130030713394636,0.05917706616090572,0.10256410256410253,0.0,109.72542556213018
0.5,1,wheat,46.434181106787378,-29.705031256653484,638.87808537556566,1.8253659582159019,350.0,240.0,0.41471441411563986,0.071107521316778124,0.10677304614929384,0.0,280.4322261273728
0.75,2,sprayed pasture,-207.57499999999999,-237.28003125665347,0.0,2.3370822547822683,230.0,0.0,0.37034403144827965,0.0,0.22097258173924395,58.427056369556709,150.64764208856593
0.35,3,wheat,72.872259191852166,-164.40777206480129,558.14050360945305,1.5946871531698659,350.0,123.14588726088658,0.1,0.037546443936009533,0.10963417912953555,0.0,342.9904335449742
